이름,도로명주소,위도,경도
광주본량동우체국,광주광역시 광산구 평촌길 111 (남산동),,
광주비아동우체국,광주광역시 광산구 비아안길 74 (비아동),,
광주삼도동우체국,광주광역시 광산구 삼도로 340 (도덕동),,
광주소촌동우편취급국,"광주광역시 광산구 어등대로665번길 27 (소촌동, 서라아파트상가103호)",,
광주송정동우체국,광주광역시 광산구 광산로 35 (송정동),,
광주신창동우체국,광주광역시 광산구 신창로 61 (신창동),,
광주운남동우체국,광주광역시 광산구 목련로273번안길 7 (운남동),,
광주월계동우편취급국,광주광역시 광산구 산월로 9 (월계동),,
광주월곡동우체국,광주광역시 광산구 사암로340번안길 13 (월곡동),,
광주임곡동우체국,광주광역시 광산구 고봉로 804-1 (임곡동),,
광주첨단동우체국,광주광역시 광산구 첨단중앙로124번길 6 (월계동),,
광주평동우체국,광주광역시 광산구 평동로 799 (옥동),,
광주하남2지구우체국,광주광역시 광산구 용아로379번길 83 (산정동),,
광주하남동우체국,광주광역시 광산구 하남산단4번로 172 (장덕동),,
호남대학교우편취급국,"광주광역시 광산구 호남대길 20, 1층 (서봉동, 복지관)",,
광주우편집중국,광주광역시 광산구 앰코로 11 (쌍암동),,
국립목포해양대학교우편취급국,전라남도 목포시 해양대학로 91 (죽교동),,
도초우체국,전라남도 신안군 도초면 불섬길 32,,
목포대양동우편취급국,전라남도 목포시 산양로 42 (대양동),,
목포대향우편취급국,전라남도 목포시 상동로26번길 5 (상동),,
목포산정동우체국,전라남도 목포시 산정로 162 (용당동),,
목포삼학도우체국,전라남도 목포시 동명로 10 (산정동),,
목포석현동우체국,전라남도 목포시 영산로 674,,
목포양동우체국,전라남도 목포시 북항로 30 (양동),,
목포연산동우체국,전라남도 목포시 원산중앙로 98 (연산동),,
목포영해동우편취급국,전라남도 목포시 해안로249번길 5 (보광동1가),,
목포옥암동우체국,전라남도 목포시 통일대로 98 (옥암동),,
목포용해동우체국,전라남도 목포시 양을로 220 (용당동),,
목포우성우편취급국,전라남도 목포시 교육로 37 (상동),,
목포우체국,전라남도 목포시 영산로 288 (용당동),,
목포원산정우편취급국,전라남도 목포시 연산로101번길 11    B101호 (산정동),,
목포유달산우체국,전라남도 목포시 영산로 33 (대의동2가),,
목포죽교동우체국,전라남도 목포시 원산로 39 (산정동),,
목포창평동우체국,전라남도 목포시 수문로20번길 10 (창평동),,
목포하당동우체국,전라남도 목포시 비파로 101 (상동),,
비금우체국,전라남도 신안군 비금면 비금북부길 10,,
비금우체국 도고출장소,전라남도 신안군 비금면 비금북부길 965-1,,
신의우체국,전라남도 신안군 신의면 상동길 89,,
안좌우체국,전라남도 신안군 안좌면 김환기길 12-3,,
암태우체국,전라남도 신안군 암태면 장단고길 32,,
압해우체국,전라남도 신안군 압해읍 복룡로 10,,
임자우체국,전라남도 신안군 임자면 진리길 5-1,,
자은도우체국,전라남도 신안군 자은면 구영2길 49-1,,
장산우체국,전라남도 신안군 장산면 도창길 1-22,,
증도우체국,전라남도 신안군 증도면 문준경길 184,,
지도우체국,전라남도 신안군 지도읍 읍내길 77,,
팔금우체국,전라남도 신안군 팔금면 삼층석탑길 163-1,,
하의우체국,전라남도 신안군 하의면 곰실길 16,,
홍도우체국,전라남도 신안군 흑산면 홍도1길 35,,
흑산가거도우체국,전라남도 신안군 흑산면 가거도길 40,,
흑산도우체국,전라남도 신안군 흑산면 예리1길 76,,
낙안우체국,전라남도 순천시 낙안면 삼일로 11,,
별량우체국,전라남도 순천시 별량면 별량길 163,,
상사우체국,전라남도 순천시 상사면 상사호길 332,,
송광우체국,전라남도 순천시 송광면 이읍2길 5,,
순천남정동우체국,전라남도 순천시 우석로 144 (남정동),,
순천삼산동우체국,전라남도 순천시 중앙로 248 (석현동),,
순천서면우체국,전라남도 순천시 서면 북차길 98-36,,
순천연향동우체국,전라남도 순천시 연향1로 24 (연향동),,
순천왕조동우체국,전라남도 순천시 봉화3길 3 (조례동),,
순천외서우체국,전라남도 순천시 외서면 반월로 2,,
순천외서우편취급국,전라남도 순천시 외서면 반월로 2 (월암리),,
순천우체국,전라남도 순천시 하대석길 9 (연향동),,
순천조곡동우체국,전라남도 순천시 역전길 43 (조곡동),,
순천조례동우체국,전라남도 순천시 장선배기길 20 (조례동),,
순천행동우체국,전라남도 순천시 중앙로 99 (행동),,
순천황전우체국,전라남도 순천시 황전면 월등로 1045,,
승주우체국,전라남도 순천시 승주읍 승평동길 7,,
월등우체국,전라남도 순천시 월등면 월평1길 105,,
주암우체국,전라남도 순천시 주암면 동주로 2019 (광천리),,
해룡우체국,전라남도 순천시 해룡면 월전길 31,,
거문도우체국,전라남도 여수시 삼산면 거문길 28-8 (거문리),,
돌산우체국,전라남도 여수시 돌산읍 방답길 55-1 (군내리),,
돌산우체국 화태출장소,전라남도 여수시 남면 달밭금길 31-2 (화태리),,
여수개도우체국,전라남도 여수시 화정면 개도화산1길 6 (개도리),,
여수교동우체국,전라남도 여수시 충무로 46 (충무동),,
여수국동우체국,전라남도 여수시 신월로 629 (국동),,
여수남면우체국,전라남도 여수시 남면 내외진안길 13 (우학리),,
여수남면우체국 안도출장소,전라남도 여수시 남면 안도안길 3 (안도리),,
여수동문동우체국,전라남도 여수시 동문로 52 (관문동),,
여수문수동우체국,전라남도 여수시 좌수영로 321 (문수동),,
여수미평동우체국,전라남도 여수시 미평로 67 (미평동),,
여수봉계동우체국,전라남도 여수시 시청로 238 (여천동),,
여수봉산동우체국,전라남도 여수시 어항로 37 (봉산동),,
여수삼일동우체국,전라남도 여수시 여수산단로 274-5 (월하동),,
여수선원동우체국,전라남도 여수시 화산로 102 (선원동),,
여수소라우체국,전라남도 여수시 소라면 덕양로 445-1 (덕양리),,
여수소호동우체국,전라남도 여수시 소호로 506 (소호동),,
여수신기동우체국,전라남도 여수시 새터로 47 (신기동),,
여수여서동우체국,전라남도 여수시 여서1로 95-3 (여서동),,
여수우체국,전라남도 여수시 흥국로 24 (학동),,
여수전남대학교우편취급국,"전라남도 여수시 대학로 50 (둔덕동,전남대학교 여수캠퍼스)",,
여수죽포우체국,전라남도 여수시 돌산읍 향일암로 958 (죽포리),,
여수현대아파트우편취급국,전라남도 여수시 여서로 156-1 (여서동),,
여수화양우체국,전라남도 여수시 화양면 나진길 8 (나진리),,
연도우체국,전라남도 여수시 남면 연도서부길 22 (연도리),,
율촌우체국,전라남도 여수시 율촌면 동산개길 19 (조화리),,
초도우체국,전라남도 여수시 삼산면 의성길 22 (초도리),,
화정우체국,전라남도 여수시 화정면 백야2길 7(백야리),,
군남우체국,전라남도 영광군 군남면 포천길 30,,
낙월우체국,전라남도 영광군 낙월면 낙월길 52-4,,
대마우체국,전라남도 영광군 대마면 영장로 257,,
묘량우체국,전라남도 영광군 묘량면 묘량로 271,,
백수우체국,전라남도 영광군 백수읍 백수로 989,,
법성포우체국,전라남도 영광군 법성면 진굴비길 50,,
불갑우체국,전라남도 영광군 불갑면 함영로4길 21,,
염산우체국,전라남도 영광군 염산면 칠산로 75,,
영광군서우체국,전라남도 영광군 군서면 군서로 5,,
영광우체국,전라남도 영광군 영광읍 중앙로 200,,
홍농우체국,전라남도 영광군 홍농읍 홍농로 450,,
동화우체국,전라남도 장성군 동화면 삼동로 735,,
북상우체국,전라남도 장성군 북하면 백양로 610,,
사가우체국,전라남도 장성군 북이면 백양로 20,,
삼계우체국,전라남도 장성군 삼계면 사창로 64-9,,
삼서우체국,전라남도 장성군 삼서면 해삼로 1123,,
서삼우체국,전라남도 장성군 서삼면 축령로 365,,
신흥우체국,전라남도 장성군 북일면 신흥로 408,,
약수우체국,전라남도 장성군 북하면 백양로 895,,
장성남면우체국,전라남도 장성군 남면 못재로 81,,
장성우체국,전라남도 장성군 장성읍 역전로 201 (영천리),,
제75군사우체국,전라남도 장성군 삼서면 태청로 428,,
진원우체국,전라남도 장성군 진원면 노사로 489,,
황룡우체국,전라남도 장성군 황룡면 뱃나드리로 184,,
겸면우체국,전라남도 곡성군 겸면 곡순로 1854-3,,
고달우체국,전라남도 곡성군 고달면 목동1길 7,,
곡성오곡우체국,전라남도 곡성군 오곡면 기차마을로 130,,
곡성오산우체국,전라남도 곡성군 오산면 오산로 593,,
곡성우체국,전라남도 곡성군 곡성읍 군청로 27,,
목사동우체국,전라남도 곡성군 목사동면 주목로 758,,
삼기우체국,전라남도 곡성군 삼기면 원등1길 63,,
석곡우체국,전라남도 곡성군 석곡면 석곡로 63-1,,
옥과우체국,전라남도 곡성군 옥과면 대학로 139-2,,
입면우체국,전라남도 곡성군 입면 청계동로 1215,,
죽곡우체국,전라남도 곡성군 죽곡면 오죽로 25,,
고서우체국,전라남도 담양군 고서면 가사문학로 316 (동운리),,
담양가사문학우체국,전라남도 담양군 가사문학면 가사문학로 1120 (연천리),,
담양금성우체국,전라남도 담양군 금성면 석현길 8 (석현리),,
담양대덕우체국,전라남도 담양군 대덕면 대조동1길 1 (매산리),,
담양대전우체국,전라남도 담양군 대전면 추성1로 192 (대치리),,
담양봉산우체국,전라남도 담양군 봉산면 신학길 41-2 (제월리),,
담양우체국,전라남도 담양군 담양읍 추성로 1328 (지침리),,
무정우체국,전라남도 담양군 무정면 술지1길 8 (봉안리),,
수북우체국,전라남도 담양군 수북면 추성1로 711 (수북리),,
용면우체국,전라남도 담양군 용면 추월산로 376 (추성리),,
월산우체국,전라남도 담양군 월산면 도개길 15-51 (화방리),,
창평우체국,전라남도 담양군 창평면 의병로 149 (창평리),,
능주우체국,전라남도  화순군 능주면 죽수길 48,,
도곡우체국,전라남도  화순군 도곡면 지석로 1126,,
동복우체국,전라남도 화순군 동복면 석등길 3,,
사평우체국,전라남도 화순군 사평면 사호로 271 (사평리),,
이양우체국,전라남도  화순군 이양면 이양로 80,,
한천우체국,전라남도 화순군 한천면 한계1길 26,,
화순대리우편취급국,전라남도 화순군 화순읍 칠충로 98,,
화순도암우체국,전라남도  화순군 도암면 천태로 407,,
화순동면우체국,전라남도 화순군 동면 우평4길 5,,
화순백아,전라남도  화순군 백아면 학천길 24,,
화순우체국,전라남도  화순군 화순읍 중앙로 85,,
화순이서우체국,전라남도  화순군 이서면 백아로 3124,,
화순청풍우체국,전라남도 화순군 청풍면  평지촌길 23,,
화순춘양우체국,전라남도 화순군 춘양면 춘양로 87,,
공산우체국,전라남도 나주시 공산면 공산로 112,,
나주금천우체국,전라남도 나주시 금천면 금영로 923,,
나주동강우체국,전라남도 나주시 동강면 인동길 25-8,,
나주성북동우체국,전라남도 나주시 금성길 46 (성북동),,
나주우체국,전라남도 나주시 시청길 18 (송월동),,
남평우체국,전라남도 나주시 남평읍 남평2로 42-8,,
노안우체국,전라남도 나주시 노안면 금산로 29,,
다도우체국,전라남도 나주시 다도면 다도로 755,,
다시우체국,전라남도 나주시 다시면 다시로 187,,
동신대학교우편취급국,"전라남도 나주시 건재로 185 (대호동,동신대학교)",,
문평우체국,전라남도 나주시 문평면 체암로 297,,
반남우체국,전라남도 나주시 반남면 고분로 589,,
봉황우체국,전라남도 나주시 봉황면 봉황로 720-1,,
빛가람우체국,전라남도 나주시 그린로312,,
산포우체국,전라남도 나주시 산포면 산포로 420,,
세지우체국,전라남도 나주시 세지면 동창로 130-5,,
영산포우체국,전라남도 나주시 영산포로 187 (영산동),,
왕곡우체국,전라남도 나주시 왕곡면 나주서부로 382,,
나산우체국,전라남도 함평군 나산면 나산길 37,,
손불우체국,전라남도 함평군 손불면 손불중앙길 76-7 (대전리),,
엄다우체국,전라남도 함평군 엄다면 엄다길 58,,
월야우체국,전라남도 함평군 월야면 밀재로 1523,,
학교우체국,전라남도 함평군 학교면 함영로 500,,
함평대동우체국,전라남도 함평군 대동면 대동길 29,,
함평신광우체국,전라남도 함평군 신광면 신광중앙길 106,,
함평우체국,전라남도 함평군 함평읍 광남길 66,,
함평해보우체국,전라남도 함평군 해보면 밀재로 1331,,
군서우체국,전라남도 영암군 군서면 왕인로 498 (군서우체국),,
금정우체국,전라남도 영암군 금정면 용두로 5 (금정우체국),,
덕진우체국,전라남도 영암군 덕진면 새터신정길 72 (덕진우체국),,
도포우체국,전라남도 영암군 도포면 호산로 34 (도포우체국),,
미암우체국,전라남도 영암군 미암면 미중로 15-5 (미암우체국),,
삼호우체국,전라남도 영암군 삼호읍 중앙촌길 19 (삼호우체국),,
서호우체국,전라남도 영암군 서호면 서호로 313 (서호우체국),,
시종우체국,전라남도 영암군 시종면 내동중앙로 40 (시종우체국),,
신북우체국,전라남도 영암군 신북면 황금동로 64-3 (신북우체국),,
영암삼호산단우편취급국,"전라남도 영암군 삼호읍 신항로 123-11, 104호 (삼호3차사원임대아파트)",,
영암우체국,전라남도  영암군 영암읍 남문로 13,,
영암학산우체국,전라남도 영암군 학산면 영산로 22 (학산우체국),,
제8군사우편출장소,전라남도 영암군 삼호읍 용당로 321,,
강진대구우체국,전라남도 강진군 대구면 수동길 11,,
강진우체국,전라남도 강진군 강진읍 남문길 7,,
군동우체국,전라남도 강진군 군동면 진흥로 323,,
도암우체국,전라남도 강진군 도암면 도암중앙로 78,,
마량우체국,전라남도 강진군 마량면 마량공단길 18 (마량리),,
병영우체국,전라남도 강진군 병영면 병영성로 139,,
성전우체국,전라남도 강진군 성전면 별뫼로 380,,
신전우체국,전라남도 강진군 신전면 신전중앙길 16-1,,
옴천우체국,전라남도 강진군 옴천면 개산중앙길 12,,
작천우체국,전라남도 강진군 작천면 평리길 60,,
칠량우체국,전라남도 강진군 칠량면 칠량로 75,,
유치우체국,전라남도 장흥군 유치면 유치로 40 (원등리),,
장평우체국,전라남도 장흥군 장평면 장평중앙길 37 (용강리),,
장흥관산우체국,전라남도 장흥군 관산읍 관산로 86 (옥당리),,
장흥대덕우체국,전라남도 장흥군 대덕읍 대대로 939 (연정리),,
장흥부산우체국,전라남도 장흥군 부산면 부유로 32 (유량리),,
장흥안양우체국,전라남도 장흥군 안양면 남부관광로 741 (운흥리),,
장흥용산우체국,전라남도 장흥군 용산면 용안로 3 (인암리),,
장흥우체국,전라남도 장흥군 장흥읍 장흥로 15 (건산리),,
장흥장동우체국,전라남도 장흥군 장동면 흥성로 1551 (북교리),,
회진우체국,전라남도 장흥군 회진면 가학회진로 1605 (회진리),,
남악우체국,전라남도 무안군 삼향읍 남악2로74번길 45,,
망운우체국,전라남도 무안군 망운면 운해로 1409,,
몽탄우체국,전라남도 무안군 몽탄면 몽탄로 848,,
무안우체국,전라남도 무안군 무안읍 무안로 489,,
삼향우체국,전라남도 무안군 삼향읍 임성로 144-33,,
운남우체국,전라남도 무안군 운남면 운해로 603 (연리),,
일로우체국,전라남도 무안군 일로읍 일로로 57,,
청계우체국,전라남도 무안군 청계면 도림길 72,,
해제우체국,전라남도 무안군 해제면 양간로 74,,
현경우체국,전라남도 무안군 현경면 운해로 1599,,
계곡우체국,전라남도 해남군 계곡면 둔주포길 3,,
산이우체국,전라남도 해남군 산이면 비석길 74,,
송지우체국,전라남도 해남군 송지면 산정1길 66,,
우수영우체국,전라남도 해남군 문내면 동영길 7,,
해남마산우체국,전라남도 해남군 마산면 마산로 448,,
해남북일우체국,전라남도 해남군 북일면 만월길 18-4,,
해남북평우체국,전라남도 해남군 북평면 달량진길 12,,
해남삼산우체국,전라남도 해남군 삼산면 고산로 521,,
해남옥천우체국,전라남도 해남군 옥천면 해남로 395,,
해남우체국,전라남도 해남군 해남읍 중앙1로 70,,
해남화원우체국,전라남도 해남군 화원면 청용2길 7,,
해남황산우체국,전라남도 해남군 황산면 시등로 128,,
현산우체국,전라남도 해남군 현산면 현산북평로 107,,
화산우체국,전라남도 해남군 화산면 해남화산로 1082,,
금일우체국,전라남도 완도군 금일읍 금일로390번길 6,,
넙도출장소,전라남도 완도군 노화읍 넙도길 86,,
노화우체국,전라남도 완도군 노화읍 노화로 839,,
소안우체국,전라남도 완도군 소안면 비자2길 14-1 (비자리),,
신지우체국,전라남도 완도군 신지면 대곡길 6-1,,
약산우체국,전라남도 완도군 약산면 약산로 370-1,,
약산우편취급국,전라남도 완도군 약산면 약산로 370-1 (장용리),,
완도개포우편취급국,전라남도 완도군 완도읍 개포로62번길 25,,
완도고금우체국,전라남도 완도군 고금면 고금동로2번길 18,,
완도군외우체국,전라남도 완도군 군외면 원동1길 59,,
완도금당우체국,전라남도 완도군 금당면 차우길 22,,
완도보길우체국,전라남도 완도군 보길면 청별길 1 (부황리),,
완도생일우체국,전라남도 완도군 생일면 생일로 617,,
완도우체국,전라남도 완도군 완도읍 청해진남로23번길 3,,
완도죽청우편취급국,전라남도 완도군 완도읍 농공단지2길 35,,
청산도우체국,전라남도 완도군 청산면 청산로 1619-5,,
고군우체국,전라남도 진도군 고군면 오일시1길 33,,
군내우체국,전라남도 진도군 군내면 진도대로 7973 (군내우체국),,
의신우체국,전라남도  진도군 의신면 돈지1길 37-1,,
조도우체국,전라남도 진도군 조도면 창유2길 5,,
지산우체국,전라남도 진도군 지산면 인지인천1길 32,,
진도우체국,전라남도 진도군 진도읍 남동1길 63,,
진도임회우체국,전라남도 진도군 임회면 십일시길 47-3,,
간전우체국,전라남도  구례군 간전면 안음길 4,,
광의우체국,전라남도  구례군 광의면 구만제로 336-1,,
구례마산우체국,전라남도  구례군 마산면 화엄사로 137,,
구례산동우체국,전라남도  구례군 산동면 원촌길 109,,
구례우체국,전라남도 구례군 구례읍 북교길 8,,
문척우체국,전라남도  구례군 문척면 수달생태로 271,,
용방우체국,전라남도  구례군 용방면 용방로 479,,
토지우체국,전라남도  구례군 토지면 섬진강대로 5042,,
광양광영우체국,전라남도 광양시 금영로 125 (광영동),,
광양금호우체국,전라남도 광양시 폭포사랑길 99 (금호동),,
광양목성우체국,전라남도 광양시 광양읍 매천로 889,,
광양성황동우체국,전라남도 광양시 지동길 31-9 (성황동),,
광양우체국,전라남도 광양시 시청로 47 (중동),,
광양진상우체국,전라남도 광양시 진상면 신시길 217,,
광양태인동우체국,전라남도 광양시 담안길 81 (태인동),,
다압우체국,전라남도 광양시 다압면 항동2길 11,,
봉강우체국,전라남도 광양시 봉강면 조양길 63,,
옥곡우체국,전라남도 광양시 옥곡면 큰골1길 7,,
옥룡우체국,전라남도 광양시 옥룡면 신재로 616,,
진월우체국,전라남도 광양시 진월면 선소중앙길 48,,
겸백우체국,전라남도 보성군 겸백면 충의로 2472,,
노동우체국,전라남도 보성군 노동면 광곡길 16,,
노동우편취급국,전라남도 보성군 노동면 광곡길 16 (광곡리),,
문덕우체국,전라남도 보성군 문덕면 장운길 46,,
미력우체국,전라남도 보성군 미력면 우봉길 3,,
미력우편취급국,전라남도 보성군 미력면 우봉길 3 (도개리),,
벌교우체국,전라남도 보성군 벌교읍 채동선로 217,,
보성우체국,전라남도 보성군 보성읍 동산길 9,,
보성조성우체국,전라남도 보성군 조성면 조성로 127,,
복내우체국,전라남도 보성군 복내면 개기로 1658,,
예당우체국,전라남도 보성군 득량면 예당역전길 11,,
웅치우체국,전라남도 보성군 웅치면 일림로 1012,,
율어우체국,전라남도 보성군 율어면 율어로 552-1,,
회천우체국,전라남도 보성군 회천면 남부관광로 2293,,
고흥금산우체국,전라남도  고흥군 금산면 거금중앙길 88-4,,
고흥동일우체국,전라남도  고흥군 동일면 봉영로 1,,
고흥영남우체국,전라남도 고흥군 영남면 팔영로 1071 (우체국),,
고흥오천우편취급국,전라남도 고흥군 금산면 오천길 58,,
고흥우체국,전라남도  고흥군 고흥읍 봉황길 5,,
고흥우체국 두원출장소,"전라남도 고흥군 두원면 두원로 484 (용산리, 중앙보건지소)",,
고흥풍양우체국,전라남도 고흥군 풍양면 풍양로 12 (야막리),,
과역우체국,전라남도  고흥군 과역면 고흥로 2959,,
나로도우체국,전라남도  고흥군 봉래면 축정2길 105,,
남양우체국,전라남도  고흥군 남양면 남양희망길 22,,
남양우편취급국,전라남도 고흥군 남양면 남양희망길 22 1층 (남양리),,
대서우체국,전라남도 고흥군 대서면 석장2길 13,,
도덕우체국,전라남도 고흥군 도덕면 고흥로 453,,
도양우체국,전라남도  고흥군 도양읍 녹동남촌2길 26,,
도화우체국,전라남도  고흥군 도화면 중심길 56,,
동강우체국,전라남도  고흥군 동강면 원유둔1길 29,,
소록우체국,전라남도 고흥군 도양읍 소록선창길 12-9 (소록리),,
점암우체국,전라남도 고흥군 점암면 모룡길 68 (우체국),,
포두우체국,전라남도 고흥군 포두면 우주로 613-1 (포두우체국),,
영암우편집중국,전라남도 영암군 삼호읍 대불주거1로 124,,
순천집중과,전라남도 순천시 하대석길 9,,
경북지방우정청,대구광역시 동구 동촌로 1 (입석동),,
국채보상우체국,대구광역시 중구 동덕로 167 (동인동2가),,
남대구우체국,대구광역시 남구 중앙대로 200 (대명동),,
대구대명9동우편취급국,대구광역시 남구 자유1길 5 (대명동),,
대구대명동우체국,대구광역시 남구 현충로 163 (대명동),,
대구대봉동우체국,대구광역시 중구 대봉로 224 (대봉동),,
대구동덕우편취급국,대구광역시 중구 동덕로 130 (삼덕동2가),,
대구동산의료원우체국,대구광역시 중구 달성로 56 (동산동),,
대구명덕우체국,대구광역시 중구 중앙대로 265 (남산동),,
대구반월당우체국,대구광역시 중구 달구벌대로 2141 (삼덕동1가),,
대구봉덕1동우편취급국,대구광역시 남구 봉덕로 61 (봉덕동),,
대구봉덕동우체국,대구광역시 남구 중앙대로22길 269 (봉덕동),,
대구안지랑우체국,대구광역시 남구 대명로 79 (대명동),,
대구우체국,대구광역시 중구 경상감영길 80 (포정동),,
대구공산우체국,대구광역시 동구 팔공로 1017 (백안동),,
대구동호동우체국,대구광역시 동구 동호로 63 (동호동),,
대구방촌동우체국,대구광역시 동구 동촌로 242 다산빌딩 202호 (방촌동),,
대구불로봉무동우체국,대구광역시 동구 팔공로47길 22 (봉무동),,
대구서호모란우편취급국,"대구광역시 동구 율하동로20길 30 (신기동,모란2차아파트)",,
대구신암2동우체국,대구광역시 동구 신암로 76 (신암동),,
대구신암4동우체국,대구광역시 동구 아양로 106 (신암동),,
대구신천3동우편취급국,대구광역시 동구 동부로 76 (신천동),,
대구신천4동우체국,대구광역시 동구 동부로30길 12-1 (신천동),,
대구신천동우체국,대구광역시 동구 송라로 11 (신천동),,
대구안심우체국,대구광역시 동구 경안로 780 (동호동),,
대구율하동우체국,대구광역시 동구 안심로16길 49 (율하동),,
대구팔공우편취급국,"대구광역시 동구 동화천로 372, 팔공새마을금고 팔공지점",,
대구효목동우체국,대구광역시 동구 화랑로25길 13 (효목동),,
동대구우체국,대구광역시 동구 동촌로 1 (입석동),,
제304군사우편출장소,대구광역시 동구 아양로 352 (입석동),,
대구우편집중국,대구광역시 북구 유통단지로 115 (산격동),,
경북대학교우편취급국,"대구광역시 북구 대학로 80 (산격동,경북대학교)",,
대구고성동우체국,대구광역시 북구 원대로 60 (고성동3가),,
대구노원동우체국,대구광역시 북구 팔달로 195 (노원동2가),,
대구동천동우체국,대구광역시 북구 동천로 3 (동천동),,
대구무태우편취급국,대구광역시 북구 호국로51길 45-6 (서변동),,
대구복현동우체국,대구광역시 북구 경진로 5 (복현동),,
대구산격동우체국,대구광역시 북구 연암로 42 (산격동),,
대구서변동우체국,대구광역시 북구 호국로43길 17 (서변동),,
대구읍내동우체국,대구광역시 북구 구암로15길 16 (읍내동),,
대구제3공단우편취급국,대구광역시 북구 노원로25길 23 (노원동3가),,
대구종합유통단지우체국,"대구광역시 북구 유통단지로 115, 1층 (산격동,대구우편집중국)",,
대구칠곡우체국,대구광역시 북구 칠곡중앙대로 577 (읍내동),,
대구침산2동우편취급국,"대구광역시 북구 성북로 70, 상가 111호 (침산동, 침산화성파크드림)",,
대구태전동우체국,대구광역시 북구 매전로 74 (태전동),,
북대구우체국,대구광역시 북구 구암로65길 38 (구암동),,
제79군사우체국,대구광역시 북구 호국로 780 (학정동),,
대구대평리우편취급국,대구광역시 서구 서대구로42길 42 (평리동),,
대구비산7동우체국,대구광역시 서구 서대구로 358 (비산동),,
대구비산동우체국,대구광역시 서구 달서로 157 (비산동),,
대구서문우체국,대구광역시 서구 큰장로 101 (내당동),,
대구염색공단우편취급국,대구광역시 서구 염색공단로 17 (비산동),,
대구중리동우체국,대구광역시 서구 평리로 148 (중리동),,
대구평리1동우편취급국,대구광역시 서구 북비산로 311 (평리동),,
대구평리3동우체국,대구광역시 서구 국채보상로 279 (평리동),,
서대구우체국,대구광역시 서구 서대구로 97 (평리동),,
대구감삼동우체국,대구광역시 달서구 달구벌대로 1578-11 (감삼동),,
대구강창우체국,대구광역시 달서구 호산로 124 (호산동),,
대구다사우체국,대구광역시 달성군 다사읍 왕선로 39,,
대구달서우체국,대구광역시 달서구 학산로 65 (월성동),,
대구도원동우체국,대구광역시 달서구 도원로 6 (도원동),,
대구두류동우체국,대구광역시 달서구 성당로 247 (두류동),,
대구명곡우체국,대구광역시 달성군 화원읍 화암로 76,,
대구본리동우체국,대구광역시 달서구 당산로 36 (본리동),,
대구삼익신협우편취급국,대구광역시 달서구 달구벌대로 1862 (두류동),,
대구상인1동우체국,대구광역시 달서구 상인서로10길 6-4 (상인동),,
대구상인3동우편취급국,대구광역시 달서구 상인로 9 (상인동),,
대구상인동우체국,대구광역시 달서구 송현로 47 (상인동),,
대구성서3동우편취급국,대구광역시 달서구 성서로72길 97-10 (이곡동),,
대구성서공단우체국,대구광역시 달서구 성서공단로 118 (월암동),,
대구성서우체국,대구광역시 달서구 성서로 406 (이곡동),,
대구신당동우체국,대구광역시 달서구 선원로 58 (신당동),,
대구용산동우체국,대구광역시 달서구 용산로 214 (용산동),,
대구월배우체국,대구광역시 달서구 상원로 97 (진천동),,
대구장기동우체국,대구광역시 달서구 장기로 273 (장기동),,
대구지법서부지원출장소,대구광역시 달서구 장산남로 30 (용산동),,
대구진천동우체국,대구광역시 달서구 월배로 32 (진천동),,
대구하빈우체국,대구광역시 달성군 하빈면 하빈로90길 1,,
대구하빈우편취급국,대구광역시 달성군 하빈면 하빈로 424 (현내리),,
대구화원우체국,대구광역시 달성군 화원읍 비슬로 2589,,
성서계명대학교우편취급국,"대구광역시 달서구 달구벌대로 1095 (신당동,계명대학교성서캠퍼스)",,
대구가창우체국,대구광역시 달성군 가창면 가창로216길 1,,
대구고산우체국,대구광역시 수성구 달구벌대로 3070 (시지동),,
대구대동우편취급국,대구광역시 수성구 범어로 76 (범어동),,
대구만촌1동우체국,대구광역시 수성구 국채보상로 1075 (만촌동),,
대구범물동우체국,대구광역시 수성구 범안로16길 6 (범물동),,
대구범어2동우체국,대구광역시 수성구 달구벌대로 2465 (범어동),,
대구범어3동우체국,"대구광역시 수성구 동대구로 401 (범어동, 삼성화재빌딩 1층)",,
대구범어우방우편취급국,"대구광역시 수성구 동대구로 222, 상가 1층 5호 (범어동)",,
대구법원우체국,대구광역시 수성구 동대구로 364 (범어동),,
대구삼남우편취급국,대구광역시 수성구 무학로33길 1 (지산동),,
대구상동우체국,대구광역시 수성구 수성로 82 (상동),,
대구수성우체국,대구광역시 수성구 달구벌대로 2320 (수성동2가),,
대구신매동우체국,대구광역시 수성구 달구벌대로 3182 (신매동),,
대구중동우체국,대구광역시 수성구 들안로 137 (중동),,
대구지산동우체국,대구광역시 수성구 지범로 149 (지산동),,
대구파동우체국,대구광역시 수성구 파동로 59 (파동),,
대구황금동우체국,대구광역시 수성구 청수로 243 (황금동),,
수성대학교우편취급국,대구광역시 수성구 달구벌대로528길 15 (만촌동),,
제134군사우편출장소,대구광역시 수성구 달구벌대로568길 40 (이천동),,
제503군사우편출장소,대구광역시 수성구 무열로 56 (만촌동),,
제96군사우편출장소,대구광역시 수성구 달구벌대로 2903 사서함 96 (가천동),,
경산가야우편취급국,경상북도 경산시 진량읍 봉황길 27,,
경산남부우편취급국,경상북도 경산시 경안로 76 (신교동),,
경산남산우체국,경상북도 경산시 남산면 하남로 325,,
