이름,도로명주소,위도,경도
서울방배2동우편취급국,서울특별시 서초구 방배천로2길 39-15 (방배동),,
서울방배3동우편취급국,"서울특별시 서초구 방배로6길 10-21 102호 (방배동, 평산빌딩)",,
서울방배동우체국,서울특별시 서초구 방배로 238 (방배동),,
서울법원청사우체국,서울특별시 서초구 서초중앙로 157 (서초동),,
서울서초1동우체국,서울특별시 서초구 효령로60길 13 (서초동),,
서울서초2동우편취급국,"서울특별시 서초구 서운로 19, 서초월드오피스텔 B1 (서초동)",,
서울서초3동우체국,서울특별시 서초구 반포대로 99 (서초동),,
서울서초우체국,서울특별시 서초구 동산로 19 (양재동),,
서울신반포우편취급국,"서울특별시 서초구 신반포로 177 (잠원동,반포쇼핑타운)",,
서울양재동우체국,서울특별시 서초구 남부순환로356길 5 (양재동),,
서울우면동우체국,서울특별시 서초구 태봉로 58 (우면동),,
서울잠원한신우편취급국,"서울특별시 서초구 강남대로95길 41, 양지빌딩 102호 (잠원동)",,
서울진흥아파트우편취급국,"서울특별시 서초구 서초대로 385, 진흥종합상가 2층 3호 (서초동,진흥아파트)",,
서울가든파이브우체국,서울특별시 송파구 충민로 66 (문정동),,
서울가락극동우편취급국,"서울특별시 송파구 동남로 208 (가락동,극동아파트)",,
서울가락본동우체국,서울특별시 송파구 송파대로30길 36 (가락동),,
서울거여동우체국,서울특별시 송파구 양산로 3 (거여동),,
서울동부지방법원우체국,"서울특별시 송파구 법원로 101 (문정동, 서울동부지방법원)",,
서울마천동우체국,서울특별시 송파구 거마로20길 34 (마천동),,
서울문정건영우편취급국,서울특별시 송파구 새말로 103 (문정동),,
서울문정동우체국,서울특별시 송파구 중대로 20 (문정동),,
서울문정로데오우편취급국,서울특별시 송파구 동남로4길 10 (문정동),,
서울방이동우체국,서울특별시 송파구 오금로 187 (방이동),,
서울삼전동우체국,서울특별시 송파구 백제고분로 256 (삼전동),,
서울삼전서호우편취급국,"서울특별시 송파구 삼전로12길 10, 1층 01호 (삼전동,경림빌딩)",,
서울송파1동우체국,서울특별시 송파구 백제고분로42길 5 (송파동),,
서울송파우체국,서울특별시 송파구 오금로 323 (오금동),,
서울송파한양우편취급국,서울특별시 송파구 송이로 26 (송파동),,
서울아산병원우편취급국,서울특별시 송파구 올림픽로43길 88 (풍납동),,
서울오금대림우편취급국,서울특별시 송파구 마천로 61 (오금동),,
서울오륜동우체국,"서울특별시 송파구 양재대로 1218 (방이동,올림픽선수촌아파트)",,
서울위례동우편취급국,"서울특별시 송파구 위례광장로 290, 위례중앙푸르지오 2단지 상가동 제136호 (장지동, 위례중앙푸르지오2단지)",,
서울잠실2동우체국,서울특별시 송파구 올림픽로 107 (잠실동),,
서울잠실3동우체국,서울특별시 송파구 잠실로 51-33 (잠실동),,
서울잠실4동우체국,서울특별시 송파구 올림픽로35길 14,,
서울잠실우성우편취급국,"서울특별시 송파구 올림픽로4길 48, 프리마상가 205 (잠실동,우성아파트)",,
서울장미아파트우편취급국,"서울특별시 송파구 올림픽로35길 124, 221호",,
서울풍납2동우편취급국,"서울특별시 송파구 올림픽로45길 19 (풍납동,풍성빌딩)",,
서울풍납동우체국,서울특별시 송파구 올림픽로 575 (풍납동),,
